sample	strainID	genus	species	count	count_correct	f_correct
15_B6	HAMBI-1842	Sphingobium	yanoikuyae	94	179	0.014375752174591562
15_B6	HAMBI-1896	Sphingobacterium	spiritivorum	1132	2293	0.18409919965342272
15_B6	HAMBI-1972	Aeromonas	caviae	5422	1246	0.10008874407218032
15_B6	HAMBI-1977	Pseudomonas	chlororaphis	937	2295	0.1843222898278825
15_B6	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_B6	HAMBI-2159	Paraburkholderia	caryophylli	2	44	0.003523003070658125
15_B6	HAMBI-2160	Bordetella	avium	25	272	0.02186674685034504
15_B6	HAMBI-2164	Cupriavidus	necator	4	58	0.004660577101554894
15_B6	HAMBI-2443	Paracoccus	denitrificans	8	150	0.012011326187631807
15_B6	HAMBI-2494	Paraburkholderia	kururiensis	5	69	0.005531899675764326
15_B6	HAMBI-2659	Stenotrophomonas	maltophilia	162	204	0.01641910078314233
15_B6	HAMBI-2792	Moraxella	canis	0	0	0
15_B6	HAMBI-3031	Niabella	yanshanensis	30	105	0.008435561362307935
15_B6	HAMBI-3237	Microvirga	lotononidis	5	12	9.714216592295208e-4
15_BS1	HAMBI-0006	Pseudomonas	putida	2151	132	0.004931004690585225
15_BS1	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
15_BS1	HAMBI-0105	Agrobacterium	tumefaciens	1343	2929	0.10922524190451563
15_BS1	HAMBI-0262	Brevundimonas	bullata	0	0	0
15_BS1	HAMBI-0403	Comamonas	testosteroni	568	376	0.014032741428644786
15_BS1	HAMBI-1279	Hafnia	alvei	59	107	0.004008664225615045
15_BS1	HAMBI-1287	Citrobacter	koseri	5749	5370	0.20027633806781528
15_BS1	HAMBI-1292	Morganella	morganii	100	335	0.012503017891057268
15_BS1	HAMBI-1299	Kluyvera	intermedia	40	85	0.003186519193362052
15_BS1	HAMBI-1842	Sphingobium	yanoikuyae	2230	2635	0.09828709970212234
15_BS1	HAMBI-1896	Sphingobacterium	spiritivorum	2522	3170	0.11820599118619134
15_BS1	HAMBI-1972	Aeromonas	caviae	5334	761	0.028377077805553496
15_BS1	HAMBI-1977	Pseudomonas	chlororaphis	6099	9271	0.345768823817438
15_BS1	HAMBI-1988	Chitinophaga	sancti	0	0	0
15_BS1	HAMBI-2159	Paraburkholderia	caryophylli	1	14	5.076588471649403e-4
15_BS1	HAMBI-2160	Bordetella	avium	84	568	0.021174462152222472
15_BS1	HAMBI-2164	Cupriavidus	necator	15	135	0.005036860210690986
15_BS1	HAMBI-2443	Paracoccus	denitrificans	20	232	0.008654060020725628
15_BS1	HAMBI-2494	Paraburkholderia	kururiensis	21	180	0.006695954885060738
