Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
113	B6	plate_2	1	0	0	0.07	0.07	0.071	3.2849999999999984		0.07	0.0014105967199326943	0.09425611225250387	0.0009200123982615743	0.014626497177969891	0.0	0.0	0.0016823060389354373	0.0007754467671248798	412.02204861522614	37.637845659275605	0.4166666666666667	47.166666666666664	42.75	47.166666666666664	0.0	5.509450339917079e-08	FALSE
114	B7	plate_2	1	0	0	0.069	0.069	0.073	3.25575		0.069	-0.013916257227120754	0.34607893361010406	0.002786775574337888	0.05086084966768699	0.0	0.0	0.007075666088825085	0.0035081679578319487	97.96211011916795	39.61857687218475	0.4166666666666667	47.166666666666664	44.75	47.166666666666664	0.0	9.335663352581643e-08	TRUE
115	B8	plate_2	1	0	0	0.07	0.07	0.502	13.118583333333333		0.07	9.82985228866659	50.20317996909108	0.42933916470736344	1.9652210292428514	0.00036556277942034754	0.000732045767420253	0.31674797800046184	-0.006396661396776693	2.1883239316493275	18.713915367100483	0.4166666666666667	46.916666666666664	23.333333333333332	47.166666666666664	1.0	3.796784378636795e-06	FALSE
116	B9	plate_2	1	0	0	0.071	0.071	0.508	13.132416666666666		0.071	9.804793537147546	49.60000846263473	0.434948160157662	1.963846020114783	0.0002465384735750309	0.00048735417122092173	0.3100607522287662	-0.004415478445355142	2.235520540982671	18.841590472534893	0.4166666666666667	46.916666666666664	23.583333333333332	47.166666666666664	1.0	3.249481169521181e-06	FALSE
117	B10	plate_2	1	0	0	0.07200000000000001	0.07200000000000001	0.502	13.170916666666665		0.07200000000000001	9.80688823983252	49.35050363402279	0.4282739282150927	1.938143877414653	0.0015559592470124617	0.0031161403935762166	0.3705204309779207	-0.03319319649329049	1.8707394319134047	19.442579553878357	0.4166666666666667	46.916666666666664	23.0	47.166666666666664	1.0	1.129490450865424e-06	FALSE
118	B11	plate_2	1	0	0	0.073	0.071	0.508	13.2325		0.073	9.819783036963523	48.708750471477565	0.4323988821056955	1.9346155832974112	0.00022045786657742816	0.00043641998669685655	0.3050005451137225	-0.003526089159049107	2.272609645013908	18.742669931251726	0.4166666666666667	46.916666666666664	23.416666666666668	47.166666666666664	1.0	3.540343203234849e-06	FALSE
119	B12	plate_2	1	0	0	0.07400000000000001	0.073	0.525	13.337750000000002		0.07400000000000001	9.906816512745424	48.67072309797062	0.4498598790369617	1.9557296721072248	0.00038208934410455253	0.0007306834284177555	0.30247196505288687	-0.006327837082493609	2.2916080187423296	18.758115419566636	0.4166666666666667	46.916666666666664	23.5	47.166666666666664	1.0	3.5548826787577105e-06	FALSE
120	C1	plate_2	1	0	0	0.07200000000000001	0.07200000000000001	0.502	17.066166666666668		0.07200000000000001	13.683606473647702	66.35059004899269	0.42923951930433235	1.9408660544708856	0.0107308180706287	0.02163125002303201	0.239863438695072	-0.01425153802578203	2.8897575400856037	8.175701000413735	0.4166666666666667	24.333333333333332	10.5	28.75	1.0	5.51213441037025e-07	FALSE
121	C2	plate_2	1	0	0	0.071	0.071	0.511	17.18091666666666		0.071	13.849843084799694	67.16350757014351	0.4389620178971854	1.971902235236874	0.044480366308178254	0.09124007781411203	0.25553038813841994	-0.011958598845271319	2.7125821927076235	8.284746287807524	0.4166666666666667	24.333333333333332	10.5	47.166666666666664	1.0	5.37989618732141e-07	FALSE
122	C3	plate_2	1	0	0	0.073	0.073	0.511	17.302416666666666		0.073	13.882297641454832	66.51619758700534	0.4375698945903146	1.9451206032887114	0.04567736427942959	0.09371612257210127	0.2468050950163817	-0.009425887311491719	2.808480029611778	8.023903486663365	0.4166666666666667	24.0	10.166666666666666	35.75	1.0	4.796124705352078e-07	FALSE
