bioscreen_plate	bioscreen_well	plate	well	strep_conc	strainID	evolution
2	185	2	H05	5000	HAMBI_1287	anc
2	186	2	H06	5000	HAMBI_1287	evo
2	187	2	H07	5000	HAMBI_1287	evo
2	188	2	H08	5000	HAMBI_1287	evo
2	189	2	H09	5000	HAMBI_1287	evo
2	190	2	H10	5000	HAMBI_1287	evo
2	191	2	H11	5000	HAMBI_1977	anc
2	192	2	H12	5000	HAMBI_1977	anc
2	193	3	A01	5000	HAMBI_1977	anc
2	194	3	A02	5000	HAMBI_1977	anc
2	195	3	A03	5000	HAMBI_1977	anc
2	196	3	A04	5000	HAMBI_1977	evo
2	197	3	A05	5000	HAMBI_1977	evo
2	198	3	A06	5000	HAMBI_1977	evo
2	199	3	A07	5000	HAMBI_1977	evo
2	200	3	A08	5000	HAMBI_1977	evo
